Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
See::see,0.916938,0.916938,0.0,0.0,20.4,20.4,9.4,0.6,0.9,0.0,4.5,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,,,7652225000,0.544031,4540164792.791712
Evaluator::kingEval,0.892940,0.892940,0.0,0.0,0.3,0.3,12.6,0.1,0.1,0.0,2.6,1.0,1.1,0.1,0.0,0.0,0.0,0.0,0.0,,,9934415000,0.450407,5011010244.181411
Evaluator::bishopEval,0.881940,0.881940,0.0,0.0,13.6,13.6,18.0,0.0,0.3,0.0,0.8,1.1,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,8305135000,0.511720,4818811768.683673
"std::_Atomic_storage<unsigned __int64,8>::load",0.863942,0.863942,0.0,0.0,33.3,33.3,5.7,7.7,13.4,29.6,51.9,31.2,1.5,4.7,0.0,0.0,2.0,0.0,100.0,,,2572705000,1.953434,5817071018.979166
Move::encode,0.815945,0.815945,0.0,0.0,3.4,3.4,10.5,3.1,0.8,0.6,4.0,5.1,5.3,0.9,0.0,0.0,0.0,0.0,0.0,,,6208635000,0.621322,4727721184.323529
std::atomic<bool>::operator bool,0.806946,0.806946,0.0,0.0,56.7,56.7,0.0,0.0,20.9,0.1,19.8,0.8,2.7,2.2,0.0,0.0,0.0,0.0,0.0,,,4441585000,0.946730,5210983824.490706
Search::storeTt,0.794946,0.794946,0.0,0.0,20.0,20.0,5.2,7.5,16.7,0.0,51.7,0.2,2.1,5.1,0.0,0.0,0.0,0.0,0.0,,,3656895000,0.872236,4012440737.943396
Position::wasLegalMove,0.783947,0.783947,0.0,0.0,0.7,0.7,5.9,1.2,1.8,0.0,3.2,1.2,9.5,1.8,0.0,0.0,0.0,0.0,0.0,,,9524100000,0.435220,5287448854.010204
Bitboard::shifted,0.776948,0.776948,0.0,0.0,4.9,4.9,16.9,0.8,1.7,0.0,4.5,1.7,2.4,1.0,0.1,0.0,0.0,0.0,0.0,,,7559380000,0.492472,4791552619.772201
PawnTT::clear::__l2::<lambda_1>::operator(),0.775948,0.775948,0.0,0.0,100.0,100.0,6.1,0.0,1.7,1.1,59.4,0.4,1.5,1.8,0.0,0.0,0.0,0.0,0.0,,,679865000,5.603524,4909661405.350515
